40.000000
R    28 -180.000  -60.000    0.056
R    29 -180.000  -60.000    0.056
R    30 -180.000  -60.000    0.056
R    31 -180.000  -60.000    0.056
R    32 -180.000  -60.000    0.056
R    33 -180.000  -60.000    0.056
R    34 -180.000  -60.000    0.056
R    35 -180.000  -60.000    0.056
R    36 -180.000  -60.000    0.050
R    37 -180.000  -60.000    0.050
R    38 -180.000  -60.000    0.003
R    39 -180.000  -60.000    0.003
R    40 -180.000  -60.000    0.003
R    41 -180.000  -60.000    0.003
R    42 -180.000  -60.000    0.003
R    43 -180.000  -60.000    0.003
R    44 -180.000  -60.000    0.003
R    45 -180.000  -60.000    0.003
R    46 -180.000  -60.000    0.003
R    47 -180.000  -60.000    0.003
R    48 -180.000  -60.000    0.003
R    49 -180.000  -60.000    0.003
R    11 -180.000  -20.000    0.001
R    12 -180.000  -20.000    0.001
R    13 -180.000  -20.000    0.001
R    15 -180.000  -20.000    0.001
R    16 -180.000  -20.000    0.001
R    17 -180.000  -20.000    0.002
R    18 -180.000  -20.000    0.002
R    19 -180.000  -20.000    0.007
R    20 -180.000  -20.000    0.035
R    21 -180.000  -20.000    0.039
R    22 -180.000  -20.000    0.040
R    23 -180.000  -20.000    0.046
R    24 -180.000  -20.000    0.048
R    25 -180.000  -20.000    0.051
R    26 -180.000  -20.000    0.051
R    27 -180.000  -20.000    0.051
R    28 -180.000  -20.000    0.051
R    29 -180.000  -20.000    0.051
R    30 -180.000  -20.000    0.051
R    31 -180.000  -20.000    0.051
R    32 -180.000  -20.000    0.051
R    33 -180.000  -20.000    0.051
R    34 -180.000  -20.000    0.051
R    35 -180.000  -20.000    0.051
R    36 -180.000  -20.000    0.050
R    37 -180.000  -20.000    0.050
R    38 -180.000  -20.000    0.008
R    39 -180.000  -20.000    0.009
R    40 -180.000  -20.000    0.009
R    41 -180.000  -20.000    0.009
R    42 -180.000  -20.000    0.009
R    43 -180.000  -20.000    0.011
R    44 -180.000  -20.000    0.011
R    45 -180.000  -20.000    0.009
R    46 -180.000  -20.000    0.009
R    47 -180.000  -20.000    0.009
R    48 -180.000  -20.000    0.007
R    49 -180.000  -20.000    0.007
R    11 -180.000   20.000    0.002
R    12 -180.000   20.000    0.002
R    13 -180.000   20.000    0.002
R    15 -180.000   20.000    0.002
R    16 -180.000   20.000    0.002
R    17 -180.000   20.000    0.003
R    18 -180.000   20.000    0.004
R    19 -180.000   20.000    0.012
R    20 -180.000   20.000    0.032
R    21 -180.000   20.000    0.035
R    22 -180.000   20.000    0.036
R    23 -180.000   20.000    0.043
R    24 -180.000   20.000    0.045
R    25 -180.000   20.000    0.048
R    26 -180.000   20.000    0.049
R    27 -180.000   20.000    0.049
R    28 -180.000   20.000    0.050
R    29 -180.000   20.000    0.050
R    30 -180.000   20.000    0.050
R    31 -180.000   20.000    0.050
R    32 -180.000   20.000    0.050
R    33 -180.000   20.000    0.050
R    34 -180.000   20.000    0.050
R    35 -180.000   20.000    0.050
R    36 -180.000   20.000    0.049
R    37 -180.000   20.000    0.049
R    38 -180.000   20.000    0.010
R    39 -180.000   20.000    0.012
R    40 -180.000   20.000    0.012
R    41 -180.000   20.000    0.012
R    42 -180.000   20.000    0.013
R    43 -180.000   20.000    0.014
R    44 -180.000   20.000    0.014
R    45 -180.000   20.000    0.012
R    46 -180.000   20.000    0.011
R    47 -180.000   20.000    0.011
R    48 -180.000   20.000    0.008
R    49 -180.000   20.000    0.008
R     0 -180.000   60.000    0.013
